company_name,job_title,job_role,job_requirement,salary
SG REHAB PTE. LTD.,Programme Coordinator,SG Rehab is recruiting on behalf of a client that is hiring a full-time Programme Coordinator to support the operations of its Senior Care Centre and to provide client care. Duties and Responsibilities:  Care for the well-being and safety of elderly clients at all times in the Senior Care Centre Prepare and conduct programme activities for elderly clients Organize social and recreational group excursions Update Individual Care Plans and relevant records daily Support caregivers and volunteers in caring for clients , Advanced/ Higher/ Certificate in Community and Social Service (Senior Care Services) or WSQ Higher Certificates in Healthcare Support (Nursing care) Competency in eldercare service with at least 2 years of working experience in an eldercare institution Good communication and interpersonal skills Possess a passionate disposition to care for elderly clients Be able to engage comfortably with elderly clients Be able to prepare and conduct care programmes for seniors  SG Rehab Recruitment Division  Tel: 6801 0664 Add: 316 Tanglin Road #02-01 Singapore 247978 Web: www.sgrehab.com Company Registration No.: 201435598H | EA Licence No.: 17C8839 ,Salary undisclosed
PERSONNEL LINK JOBHUB PTE. LTD.,Copper Trader - Up to $10K,Copper Trader - Follow up on contracts -Develop and seek for new business opportunities - Build stronger market awareness -Develope good working relationship with customer  -Monitor market situation ,"-Degree with min 3 to 5 years Copper industry related experiences Location: Central Salary: $5K to $10K Interested candidate, please email resume to jazmin@personnellink.com.sg","$5,000 - $10,000"
TRIPADVISOR SINGAPORE PRIVATE LIMITED,Business Development Sales Executive,"We are looking for an experienced Business Development Sales Executive with fluent Cantonese to join our Inside Sales organization in Hotel Solutions in Singapore. Our focus is engaging with prospects and positioning our hotel solutions so that we can gain new customers and position TripAdvisor as the partner of choice for the hospitality industry. As a Business Development Sales Executive at TripAdvisor, you will make outbound calls to designated prospects, engage in a consultative sales approach, demonstrate our business value and ultimately subscribe new customers to the solution. You will have access to training, processes and tools to support success in this role. The ideal candidate will have strong sales DNA, be results-driven, execution-focused and customer-oriented. You are the right person for this role if you are proactive, motivated, organized, responsible and able to work well in a fast-paced, team-oriented and entrepreneurial environment. This role requires excellent sales and communications skills as well as effective relationship-building talents. Beyond that, we are seeking experience in territory management with deliverables every month as well as a strong background in sales with a track record of exceeding targets in inside sales, new customer acquisition and/or business development. What You Will Do:  Manage designated pipeline and make outbound calls to our prospects Consultatively position our hotel solutions, value proposition and benefit for business success Co-browse with our customers on-line to demonstrate the value proposition Modify customer engagement to overcome objections and win customers; identify solutions to issues and concerns. Be capable of engaging with prospects appropriate to their needs and metrics (i.e. Return-on-Investment, traffic, views, and sessions) Achieve and exceed agreed sales targets monthly and quarterly on revenue, conversion number of new customers & other related KPIs Collaborate with Optimization and Renewal teams in the pursuit of excellent results and flawless execution ","What We Need From You:  Extensive sales experience Bachelor’s Degree, or equivalent Inside Sales, new customer acquisition and/or business development experience Excellent written and oral communication in the relevant language/s of the country covered Demonstrate sales aptitude (negotiation & closing) with relentlessly high standards Not intimidated by technical interaction, co-browsing with customer on-line Target driven and proven self-starter with ability to deliver on initiatives without constant supervision Territory and pipeline management experience using a CRM (Salesforce) Coachability, openness to feedback and dedication to consistent self-improvement Fluency in Cantonese language is a must as well as Business level English ","$3,600 - $4,800"
GOOGLE ASIA PACIFIC PTE. LTD.,Human Resources Associate - Singapore,"The role: Human Resources Associates People Operations strives to revolutionize human resources the same way that Google has revolutionized search. We are helping to find, grow and keep the remarkable assemblage of talent who are our Googlers. You'll be a champion of Google's culture and values, partnering with our business leaders to help them build their organizations and make sure all people decisions are based on data. Whether coaching your clients on how to lead their teams, navigating and resolving employee relations issues or managing programs that help develop our Googlers, you are exceptionally focused on putting them first, and being as clear and transparent as possible to help Googlers understand how people decisions get made. As a Human Resources Associate, you’ll play a pivotal role in designing, executing, and measuring the effectiveness of global talent programs, which will include identifying issues, forming hypotheses, and synthesizing conclusions into recommendations. Develop and analyze surveys and metrics. You’ll conduct data analyses, such as regressions, factor analyses, t-tests, ANOVAs. Additionally, you’ll work to communicate findings and recommendations on critical initiatives and influence leaders to take action on those findings. Responsibilities:   Perform data analysis for the Google HR team to support various business units using existing dashboards and tools.   Manipulate data, distill findings, and present information in a helpful, beautiful and easily digestible way to problem solve in real-time and support data-driven decisions.   Create presentation and communication materials in line with Google brand standards, incorporating data as appropriate.   Provide operational support for various people processes and HR programs. Coordinate events, including scheduling, communications, tracking, and evaluation.   Work with cross-functional partners to understand the needs of various business units and support them.  ","Minimum qualifications:   BA/BS degree in Marketing Management or related field, or equivalent practical experience.   Experience in a capacity within Tech and Innovation, Finance for HR, Business Strategy and/or HR.   Preferred qualifications:   MA/MS degree in Industrial and Labor Relations, Human Resource, Organization Behavior or Communications, or equivalent practical experience.   Experience working with strategic HR metrics.   Project background in qualitative research and quantitative analysis (pattern identification from large data sets; exploratory data analysis, extract conclusions and recommend action items).   Programming experience working with HTML, SQL, etc.   Experience with statistics and statistical software (SPSS, probability theory, descriptive statistics factor analysis, etc).  ",None
KIMLY CONSTRUCTION PRIVATE LIMITED,WSH Coordinator," To assist the WSHO/ECO in administering and implementing the  Company’s WSHE management system and procedures; Ensure procedures are updated with the latest Codes of Practice and government legislation Assist in reviewing WSHE management system and provide recommendations to WSHO/ECO for improvement periodically. To supervise the execution of various monitoring programmes e.g. meetings, inspections, pest, waste and noise, air and water pollution control to ensure effective WSHEMS implementation. To report to WSHO/ECO on WSHE system operation and conformance. To ensure that work practices in his project is at all times in line with legal and 3rd party audit requirement, that is, WSH, ISO, GGB, ConSASS and Bizsafe. Ensure the effective implementation of risk and Env impact assessments, and follow up actions to maintain high safety standard and compliance to company ISO, OHSAS, EMS policies and legal requirement; Conduct regular inspection and see to it that person responsible for the NC recorded or raised by interested parties are inform to perform corrective actions with photos evidence of closure and report to WSHO/ECO. Take initiatives to perform immediate rectification work or enforcement upon encountering unsafe act or high risk hazard and thereafter report to WSHO/ECO. To assist the WSHO/ECO in conducting accident / incident investigations and recommendations on corrective actions to prevent recurrence. Monitor and evaluate effectiveness of all corrective actions taken  In the absence of WSHO/ECO, ensure reporting of incident comply with legal requirement. In the absence of WSHO/ECO, ensure PM, HR and EHS managers are notify within an hour of the incident and preliminaries report to be mail to them within the next 24 hrs. In the absence of WSHO/ECO, conduct case studies of accident from related industry and make known its probable causes and control measures to raise awareness. To assist the WSHO/ECO in compiling accident statistic for trend identification if applicable and thereafter make known to all of action to be taken. To assist the WSHO/ECO in reviewing company system and practices base on the accident root cause identified if applicable and thereafter seek approval from PM before implementation to avoid recurrences. To assist the WSHO in agenda preparation and arrangement for a monthly EHS committee meeting and coordination meetings. Follow up on the closure of items in meeting minutes and findings raise by auditors, authorities or interested parties with records. Assist the WSHO/ECO in evaluating compliances to legal requirement for review on company system and practices if necessary for continual improvement and prevent recurrences. Contribute his views in terms of EHS legal requirements, industry good practices and innovations / technologies available in the industry to ease legal compliances. Ensure a system is implemented to check on personnel competency and fitness of tools, equipment and machineries prior to work commencement. Exercise control in enforcing compliances to legal requirement and in-house rules. Conduct study to critical findings and recommend measures to WSHO/ECO for approval to avoid recurrence. To update himself on the latest development on legal requirement and make known his views to WSHO/ECO on the impact and necessary changes needed. To familiarize 3rd party audit on ISO, GGB, Bizsafe and ConSASS requirement and assist the WSHO/ECO in making preparation for the audits. ", Minimum  2 years’ experience as a WSH coordinator in the construction industry Advance certificate in workplace safety and health. Minimum ‘N’ level ,"$2,800 - $3,800"
LOURDES GAVIN PTE. LTD.,Chef (Bakery / R&D), Well versed in culinary arts with a passion & creations Able to prepare a wide varities of bread etc Responsible for the high standard food quality and consistency Ensure that food handling and hygiene regulations are followed in accordance with NEA standards Ensure cleanliness and sanitation of work station and equipments ," Possess Certificate in Culinary Arts, Pastry-making, baking or relevant field Min 4 years’ experience in related fields is an advantage Work closer and co-operates with other colleagues to achieve higher possible satisfaction of food Items Well versed in culinary arts with a passion & creations Willing to travel  Interested applicants please submit your updated resume to  joepster.lim@lourdesgavin.com    ","$2,800 - $3,500"
LOURDES GAVIN PTE. LTD.,Process Technician (Chemical / Mechanical / Mechatronics)," Perform field logging, routine sampling and plant process testing work Provide operating support in the assigned process unit in DCS panel and/or field position. Handle daily operational tasks and participate in plant troubleshooting. Prepare process equipment for maintenance work according to Standard Operating Procedures and Instructions Carry out loading/unloading and raw material charging activities Perform housekeeping in the process area High awareness of job safety and housekeeping ", Minimum NITEC or equivalent qualification (Mechanical/Mechatronics Engineering/Electrical) Possess working experience in an oil/ gas/ petrochemical/Chemical industry DCS panel experience will be an added advantage Transport provided  Interested applicants please submit your updated resume to joepster.lim@lourdesgavin.com,"$1,600 - $2,500"
PERSONNEL LINK JOBHUB PTE. LTD.,Steel Trader - $7000,Steel Trader - Follow up on contracts -Develop and seek for new business opportunities - Build stronger market awareness -Develope good working relationship with customer  -Monitor market situation ,"-Degree with min 3 to 5 years Steel industry related experiences Location: Central Salary: $5K to $10K Interested candidate, please email resume to jazmin@personnellink.com.sg","$4,000 - $7,000"
BLACKBLUE MEDIA GROUP PTE. LTD.,Graphic Designer  /  Senior Graphic Designer,"PS: New blood needed. We are looking for a braveheart to slay with creativity, excitement and team spirit. Join us if you enjoy learning in a fast-paced, dynamic and crazy environment!  ","Submit if you have what it takes!  The consistent ability to produce and communicate fresh ideas and visual concepts; High levels of motivation and perseverance with a strong sense of belief in your ideas, plus the skills and confidence to express them; Excellent organisational skills with the ability to prioritise work and multi-task; The ability to take rejection and criticism well and to be able to adapt ideas to clients' and colleagues' needs; The capacity to deal with stress and work well under pressure in order to meet tight deadlines; Enthusiasm about advertising with a real desire to keep up to date with new developments in the media; An understanding on integrated and creative approach to the media and how the media can be used in advertising; High levels of IT skills in relevant art and design packages, such as Photoshop and Illustrator; An understanding of the advertising process; Acute observation and an eye for detail. ","$2,400 - $2,800"
INTERPLEX PRECISION TECHNOLOGY (SINGAPORE) PTE. LTD.,Operational Support Executive,"Responsibilities :  Assist in operational initiatives, reports, and meeting logistics. Provide operational support for ASEAN & India region. Provide administrative support for claims and travel arrangements.     ","Requirements :  Minimum 2 years relevant experience. Diploma in Business / A-levels. Proficient in MS Office. Possess good communication and written skills. Proactive, independent, meticulous, ability to multi task. ","$2,500 - $3,500"
